class,attendance,prestudy,homework,mid,final,total,grade
1,10,14.4,24.4,17.8,24.5,91.1,A+
1,10,14.9,24.1,13.5,26.4,88.9,A+
1,10,14.7,23.7,16.1,22.7,87.2,A+
1,10,14.8,23.4,17,21.8,87,A+
1,10,15,24,17.6,20,86.6,A+
1,10,14.9,24.4,16.3,20.9,86.5,A+
1,8,15,24.7,14,23.6,85.3,A+
1,9.5,14.9,24.6,16.3,20,85.3,A+
1,10,14.8,24.5,13.8,21.8,84.9,A+
1,10,15,23.3,17.2,19.1,84.6,A+
1,7,14.4,23,12.9,26.4,83.7,A0
1,10,14.8,24.7,11.8,20.9,82.2,A0
1,10,14.1,21.8,13.5,22.7,82.1,A0
1,8,15,24.2,14.8,20,82,A0
1,9,14.9,23.8,14,20,81.7,A0
1,10,14.8,21.8,15.1,20,81.7,A0
1,10,14.9,24.2,15.7,16.4,81.2,A0
1,9.5,15,23.5,15.5,17.3,80.8,A0
1,10,14.7,23.8,15.7,16.4,80.6,A0
1,10,15,24.7,9.7,20.9,80.3,B+
1,10,15,23.8,13.1,18.2,80.1,B+
1,10,15,24.6,13.1,17.3,80,B+
1,10,14.1,22,12,21.8,79.9,B+
1,10,15,24,14.4,15.5,78.9,B+
1,10,14.9,22.6,12.7,18.2,78.4,B+
1,10,15,23.5,11.2,18.2,77.9,B+
1,9,14.7,21.4,11.2,20.9,77.2,B+
1,10,14.7,22.8,15.7,13.6,76.8,B+
1,10,15,24.7,13.5,13.6,76.8,B+
1,10,14,21.8,10.3,19.1,75.2,B+
1,10,15,25,12,12.7,74.7,B+
1,10,14.8,21.1,12.5,15.5,73.9,B0
1,10,15,21.5,12.9,14.5,73.9,B0
1,10,15,22.6,15.1,10.9,73.6,B0
1,10,15,23.5,11.2,13.6,73.3,B0
1,9.5,15,23.2,11.2,13.6,72.5,B0
1,10,15,21.3,9.5,16.4,72.2,B0
1,9.5,15,22.7,12,12.7,71.9,B0
1,9,14.9,20.4,11.8,15.5,71.6,B0
1,10,15,22,11.6,12.7,71.3,B0
1,10,14.9,22.9,9.9,13.6,71.3,B0
1,9,14.5,24.6,10.3,12.7,71.1,B0
1,8,13.6,24.3,13.1,10.9,69.9,B0
1,10,14.9,24.3,11.2,9.1,69.5,C+
1,6,13.5,21.5,15.3,12.7,69,C+
1,8,14.8,22.2,7.5,16.4,68.9,C+
1,9,15,24.1,12.5,8.2,68.8,C+
1,9,14.7,19.9,9.7,15.5,68.8,C+
1,10,13.6,17.8,10.8,16.4,68.6,C+
1,9,12.2,24.5,12.9,8.2,66.8,C+
1,10,15,25,8.6,7.3,65.9,C+
1,8,14.1,20,11,12.7,65.8,C+
1,9,14.5,18.7,8.8,13.6,64.6,C+
1,7,14,23.1,6.9,12.7,63.7,C+
1,9,14.5,18.7,10.3,8.2,60.7,C+
1,8,14.9,18.4,9,9.1,59.4,C+
1,8,12.7,20.4,4.9,11.8,57.8,C+
1,7.5,12,17.6,12.5,8.2,57.8,C+
1,9,8.1,14.9,14.2,10,56.2,C+
1,8,9.9,15.9,9.5,12.7,56,C+
1,6,13.3,14.5,13.5,0,47.3,F
1,8,7.7,12.8,12.7,5.5,46.7,C0
1,4.5,10.5,9.9,6.9,9.1,40.9,C0
1,5,1.1,3.5,12.7,0,22.3,F
1,0,3.2,3.1,5.2,4.5,16,D+
1,1,1.7,2.6,4.9,2.7,12.9,D+
1,0,1.7,2.4,0,0,4.1,F
1,10,15,24.3,13.3,24.5,87.1,A+
2,7,14.3,21.2,15.1,12.7,70.3,B0
2,7,15,20.6,11,19.1,72.7,B0
2,8,10.6,17.8,11,4.5,51.9,C0
2,10,14.6,22.8,12.7,28.2,88.3,A+
2,10,15,24.3,17,18.2,84.5,A+
2,3,5.8,7.9,6.9,8.2,31.8,C0
2,10,15,23.3,12.7,25.5,86.5,A+
2,10,14.8,22.7,13.5,12.7,73.7,B0
2,7.5,14.4,23.3,11.6,11.8,68.6,B0
2,9,15,22.7,12.3,21.8,80.8,A0
2,10,15,22,9,5.5,61.5,C+
2,6,15,20.4,11.4,16.4,69.2,B0
2,10,15,23.6,11,19.1,78.7,B+
2,8,14.7,20.7,7.7,17.3,68.4,C+
